daily_rate,hotel_type,is_canceled,days_in_advance,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
76.5,City Hotel,no,226,2016,July,30,22,0,2,2,0,0,0,0,0,A,D,0,No Deposit,0,1,Check-Out,2016-07-24
117,City Hotel,no,147,2017,August,35,28,1,5,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-09-03
107.1,City Hotel,no,53,2016,July,28,3,2,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-07-06
54.05,City Hotel,no,48,2017,January,4,25,0,2,1,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-01-27
146.96,City Hotel,no,57,2016,September,39,24,2,5,2,0,0,0,0,0,D,A,0,No Deposit,0,1,Check-Out,2016-10-01
247,City Hotel,no,72,2017,July,27,2,2,0,3,0,0,0,0,0,D,D,0,No Deposit,0,1,Check-Out,2017-07-04
126.67,City Hotel,yes,31,2017,June,24,11,2,1,2,0,0,0,0,0,A,A,2,No Deposit,0,1,Canceled,2017-05-12
81.08,City Hotel,no,60,2016,July,30,20,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-07-21
95.64,Resort Hotel,no,0,2016,July,28,3,1,0,2,0,0,0,0,0,A,A,0,No Deposit,1,0,Check-Out,2016-07-04
122,City Hotel,yes,84,2016,December,52,22,0,1,2,1,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2016-12-16
80.75,City Hotel,no,91,2016,May,20,12,0,3,2,0,0,0,0,0,A,B,1,No Deposit,0,0,Check-Out,2016-05-15
65.7,Resort Hotel,no,129,2016,May,22,22,2,1,2,0,0,0,0,0,D,E,0,No Deposit,0,2,Check-Out,2016-05-25
177.3,City Hotel,yes,92,2016,July,29,14,0,2,2,2,0,0,0,0,F,F,0,No Deposit,0,0,Canceled,2016-04-14
79.2,City Hotel,no,57,2016,November,46,11,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-11-13
117,City Hotel,no,90,2017,May,20,14,2,0,2,0,0,0,0,0,A,F,0,No Deposit,0,0,Check-Out,2017-05-16
159,City Hotel,no,12,2017,July,29,20,0,2,2,1,0,0,0,0,A,A,0,No Deposit,0,3,Check-Out,2017-07-22
116.1,City Hotel,yes,53,2016,April,18,30,0,1,1,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2016-04-14
125,City Hotel,no,115,2017,August,34,20,2,1,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Check-Out,2017-08-23
77.71,City Hotel,no,0,2016,August,36,30,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-09-01
130.5,City Hotel,no,82,2017,July,27,2,2,1,2,0,0,0,0,0,D,D,2,No Deposit,0,1,Check-Out,2017-07-05
108,City Hotel,yes,211,2017,August,34,22,0,1,1,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2017-05-05
145,City Hotel,yes,23,2016,July,28,5,0,2,1,0,0,0,0,0,A,A,0,No Deposit,0,0,No-Show,2016-07-05
62.83,City Hotel,no,34,2017,January,2,14,3,6,1,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-01-23
75.4,City Hotel,no,88,2016,October,45,30,2,1,2,0,0,0,0,0,A,A,0,No Deposit,0,3,Check-Out,2016-11-02
79.2,City Hotel,no,71,2016,November,45,3,0,1,2,0,0,0,0,0,A,A,2,No Deposit,0,2,Check-Out,2016-11-04
119,City Hotel,yes,88,2016,December,51,17,2,5,3,0,0,0,0,0,D,D,2,No Deposit,0,1,Canceled,2016-12-16
108,City Hotel,yes,78,2017,April,17,28,0,1,2,0,0,0,0,0,A,E,0,No Deposit,0,0,Canceled,2017-04-24
139,City Hotel,no,22,2017,July,28,12,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-07-14
127.8,City Hotel,no,154,2016,September,40,25,1,0,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-09-26
75.28,City Hotel,no,0,2016,October,43,22,0,1,1,0,0,0,0,0,A,A,1,No Deposit,0,0,Check-Out,2016-10-23
79.2,City Hotel,yes,76,2016,November,46,6,1,0,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Canceled,2016-10-31
78.54,City Hotel,no,2,2017,February,7,17,2,3,1,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2017-02-22
