daily_rate,hotel_type,is_canceled,days_in_advance,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
48,Resort Hotel,no,23,2016,January,3,14,0,1,2,0,0,0,0,0,E,E,0,No Deposit,0,0,Check-Out,2016-01-15
95,Resort Hotel,yes,44,2016,May,19,6,2,3,2,0,0,0,0,0,E,E,0,No Deposit,0,0,Canceled,2016-03-23
86,Resort Hotel,yes,54,2016,May,20,13,0,1,2,0,0,0,0,0,D,D,0,No Deposit,0,0,Canceled,2016-03-29
90,Resort Hotel,yes,46,2016,May,22,22,1,0,1,0,0,0,0,0,D,D,0,No Deposit,0,0,Canceled,2016-05-05
139,Resort Hotel,yes,18,2016,May,22,27,0,2,2,2,0,0,0,0,G,G,0,No Deposit,0,1,Canceled,2016-05-14
145,Resort Hotel,yes,18,2016,May,22,27,0,2,2,2,0,0,0,0,G,G,0,No Deposit,0,1,Canceled,2016-05-14
145,Resort Hotel,yes,34,2016,June,23,2,0,3,1,0,0,0,0,0,F,F,0,No Deposit,0,0,Canceled,2016-04-30
171,Resort Hotel,yes,3,2016,June,26,22,0,1,2,0,0,0,0,0,E,E,0,No Deposit,0,0,Canceled,2016-06-19
171,Resort Hotel,yes,24,2016,July,28,7,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2016-06-23
224,Resort Hotel,yes,22,2016,July,28,9,2,1,2,0,0,0,0,0,H,H,0,No Deposit,0,0,Canceled,2016-06-20
240,Resort Hotel,yes,114,2016,July,30,21,1,3,2,2,0,0,0,0,G,G,1,No Deposit,0,0,Canceled,2016-03-29
207,Resort Hotel,yes,114,2016,July,30,21,1,3,2,0,0,0,0,0,E,E,1,No Deposit,0,0,Canceled,2016-03-29
207,Resort Hotel,yes,114,2016,July,30,21,1,3,2,0,0,0,0,0,E,E,1,No Deposit,0,0,Canceled,2016-03-29
240,Resort Hotel,yes,114,2016,July,30,21,2,3,2,2,0,0,0,0,G,G,1,No Deposit,0,0,Canceled,2016-06-21
207,Resort Hotel,yes,114,2016,July,30,21,2,3,2,0,0,0,0,0,E,E,1,No Deposit,0,0,Canceled,2016-06-21
207,Resort Hotel,yes,114,2016,July,30,21,2,3,2,0,0,0,0,0,E,E,1,No Deposit,0,0,Canceled,2016-06-21
209.1,Resort Hotel,yes,22,2016,July,31,29,0,2,2,0,0,0,0,0,F,F,2,No Deposit,0,0,Canceled,2016-07-20
273,Resort Hotel,yes,91,2016,August,33,7,2,3,3,1,0,0,0,0,H,H,0,No Deposit,0,0,Canceled,2016-07-26
231,Resort Hotel,yes,22,2016,August,33,8,1,3,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2016-07-22
219,Resort Hotel,yes,22,2016,August,33,8,1,3,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2016-07-22
214,Resort Hotel,yes,77,2016,August,34,18,0,2,2,0,0,0,0,0,E,E,1,No Deposit,0,0,Canceled,2016-06-25
304,Resort Hotel,yes,26,2016,August,34,20,1,1,3,1,0,0,0,0,H,H,0,No Deposit,0,0,Canceled,2016-07-30
189.8,Resort Hotel,yes,123,2016,August,36,28,2,3,2,0,0,0,0,0,E,E,0,No Deposit,0,0,Canceled,2016-07-23
188.5,Resort Hotel,yes,124,2016,August,36,29,1,3,2,0,0,0,0,0,E,E,1,No Deposit,0,0,Canceled,2016-07-23
22.4,Resort Hotel,no,542,2016,September,40,26,3,7,2,0,0,0,0,0,A,I,1,No Deposit,0,0,Check-Out,2016-10-06
169,Resort Hotel,yes,36,2016,September,40,27,0,2,2,2,0,0,0,0,G,G,0,No Deposit,0,0,Canceled,2016-08-29
139,Resort Hotel,yes,69,2016,September,40,30,0,1,2,0,0,0,0,0,E,E,0,No Deposit,0,0,Canceled,2016-07-23
55.8,Resort Hotel,yes,139,2016,December,49,1,1,3,2,0,0,0,0,0,E,E,0,No Deposit,0,0,Canceled,2016-07-19
55.8,Resort Hotel,yes,135,2016,December,49,1,1,3,2,0,0,0,0,0,E,E,0,No Deposit,0,1,Canceled,2016-11-13
