geoid,geoid20,year,denom_enrolled,frpl_count,frpl_pct,freemeals_count,reducedmeals_count
1400000US06037101110,6037101110,2023,1186,969,81.699997,889,80
1400000US06037101220,6037101220,2023,201,181,90.050003,174,7
1400000US06037101300,6037101300,2023,492,363,73.779999,311,52
1400000US06037102107,6037102107,2023,777,651,83.779999,563,88
1400000US06037103101,6037103101,2023,744,586,78.760002,544,42
1400000US06037103102,6037103102,2023,548,451,82.300003,421,30
1400000US06037103202,6037103202,2023,133,108,81.199997,99,9
1400000US06037103402,6037103402,2023,345,202,58.549999,190,12
1400000US06037104103,6037104103,2023,618,542,87.699997,472,70
1400000US06037104105,6037104105,2023,654,582,88.989998,517,65
1400000US06037104108,6037104108,2023,958,919,95.93,887,32
1400000US06037104124,6037104124,2023,1079,965,89.43,838,127
1400000US06037104204,6037104204,2023,360,348,96.669998,340,8
1400000US06037104310,6037104310,2023,2809,2743,97.650002,2430,313
1400000US06037104321,6037104321,2023,871,706,81.059998,681,25
1400000US06037104401,6037104401,2023,527,502,95.260002,489,13
1400000US06037104500,6037104500,2023,620,577,93.059998,543,34
1400000US06037104821,6037104821,2023,800,687,85.879997,604,83
1400000US06037104822,6037104822,2023,899,839,93.330002,796,43
1400000US06037106020,6037106020,2023,185,95,51.349998,95,0
1400000US06037106112,6037106112,2023,526,462,87.830002,430,32
1400000US06037106113,6037106113,2023,339,225,66.370003,200,25
1400000US06037106114,6037106114,2023,375,312,83.199997,282,30
1400000US06037106403,6037106403,2023,2035,1834,90.120003,1710,124
1400000US06037106405,6037106405,2023,2184,1926,88.190002,1820,106
1400000US06037106510,6037106510,2023,121,121,100,121,0
1400000US06037106520,6037106520,2023,1571,1463,93.129997,1357,106
1400000US06037106603,6037106603,2023,400,188,47,154,34
1400000US06037106604,6037106604,2023,339,321,94.690002,306,15
1400000US06037106641,6037106641,2023,1384,746,53.900002,614,132
1400000US06037106642,6037106642,2023,429,143,33.330002,129,14
1400000US06037106646,6037106646,2023,2594,1839,70.889999,1576,263
1400000US06037106648,6037106648,2023,307,273,88.93,253,20
1400000US06037107020,6037107020,2023,519,481,92.68,457,24
1400000US06037108104,6037108104,2023,580,116,20,110,6
1400000US06037108202,6037108202,2023,1324,245,18.5,229,16
1400000US06037109200,6037109200,2023,266,200,75.190002,184,16
1400000US06037109300,6037109300,2023,534,388,72.660004,333,55
1400000US06037109500,6037109500,2023,1783,1671,93.720001,1595,76
1400000US06037109601,6037109601,2023,613,419,68.349998,373,46
1400000US06037109700,6037109700,2023,995,654,65.730003,568,86
1400000US06037109800,6037109800,2023,767,425,55.41,328,97
1400000US06037111100,6037111100,2023,393,284,72.260002,251,33
1400000US06037111202,6037111202,2023,336,236,70.239998,226,10
1400000US06037111204,6037111204,2023,2496,1077,43.150002,910,167
1400000US06037111206,6037111206,2023,393,204,51.91,179,25
1400000US06037111302,6037111302,2023,375,273,72.800003,252,21
1400000US06037111303,6037111303,2023,1871,1325,70.82,1152,173
1400000US06037111304,6037111304,2023,5799,2808,48.419998,2262,546
1400000US06037111401,6037111401,2023,451,308,68.290001,284,24
1400000US06037113101,6037113101,2023,510,331,64.900002,299,32
1400000US06037113212,6037113212,2023,382,210,54.970001,192,18
1400000US06037113232,6037113232,2023,311,274,88.099998,265,9
1400000US06037113303,6037113303,2023,476,291,61.130001,252,39
1400000US06037113322,6037113322,2023,400,96,24,94,2
1400000US06037113323,6037113323,2023,1073,729,67.940002,685,44
1400000US06037113324,6037113324,2023,1727,1204,69.720001,1099,105
1400000US06037113428,6037113428,2023,615,576,93.660004,552,24
1400000US06037115101,6037115101,2023,2078,1114,53.610001,991,123
1400000US06037115103,6037115103,2023,892,680,76.230003,612,68
1400000US06037115202,6037115202,2023,447,315,70.470001,284,31
1400000US06037115301,6037115301,2023,519,168,32.369999,157,11
1400000US06037115302,6037115302,2023,379,355,93.669998,351,4
1400000US06037115401,6037115401,2023,690,651,94.349998,632,19
1400000US06037115403,6037115403,2023,251,205,81.669998,182,23
1400000US06037115404,6037115404,2023,268,74,27.610001,72,2
1400000US06037117101,6037117101,2023,2506,2400,95.769997,2280,120
1400000US06037117102,6037117102,2023,380,340,89.470001,324,16
1400000US06037117202,6037117202,2023,2215,2044,92.279999,1970,74
1400000US06037117302,6037117302,2023,409,378,92.419998,359,19
1400000US06037117303,6037117303,2023,285,115,40.349998,109,6
1400000US06037117407,6037117407,2023,496,488,98.389999,478,10
1400000US06037117510,6037117510,2023,510,487,95.489998,422,65
1400000US06037117520,6037117520,2023,520,512,98.459999,500,12
1400000US06037117530,6037117530,2023,700,677,96.709999,662,15
1400000US06037119003,6037119003,2023,448,421,93.970001,410,11
1400000US06037119004,6037119004,2023,435,380,87.360001,345,35
1400000US06037119201,6037119201,2023,1528,1405,91.949997,1330,75
1400000US06037119342,6037119342,2023,517,480,92.839996,461,19
1400000US06037119802,6037119802,2023,587,512,87.220001,484,28
1400000US06037119900,6037119900,2023,799,739,92.489998,667,72
1400000US06037120010,6037120010,2023,1149,1128,98.169998,1110,18
1400000US06037120020,6037120020,2023,538,525,97.580002,517,8
1400000US06037120030,6037120030,2023,1589,1511,95.089996,1460,51
1400000US06037120107,6037120107,2023,429,417,97.199997,408,9
1400000US06037120108,6037120108,2023,806,784,97.269997,768,16
