geoid,geoid20,year,denom_known_poverty,pop_below_100_count,pop_below_100_pct,pop_below_200_count,pop_below_200_pct
1400000US06037101110,6037101110,2022,3927,342,8.7089376,897,22.841864
1400000US06037101122,6037101122,2022,4133,277,6.7021532,517,12.509073
1400000US06037101220,6037101220,2022,3481,557,16.001148,972,27.92301
1400000US06037101221,6037101221,2022,3703,357,9.6408319,1242,33.540371
1400000US06037101222,6037101222,2022,2808,447,15.918803,1161,41.346153
1400000US06037101300,6037101300,2022,4024,246,6.1133199,654,16.252485
1400000US06037101400,6037101400,2022,3474,194,5.584341,1278,36.787563
1400000US06037102103,6037102103,2022,1834,241,13.140676,657,35.823338
1400000US06037102104,6037102104,2022,3814,207,5.4273729,719,18.851599
1400000US06037102105,6037102105,2022,1610,71,4.4099379,423,26.273293
1400000US06037102107,6037102107,2022,3459,464,13.414282,867,25.065048
1400000US06037103101,6037103101,2022,2726,91,3.3382244,485,17.791636
1400000US06037103102,6037103102,2022,4520,382,8.4513273,993,21.969027
1400000US06037103201,6037103201,2022,4172,434,10.402684,1171,28.068073
1400000US06037103202,6037103202,2022,2005,46,2.2942643,256,12.76808
1400000US06037103300,6037103300,2022,3811,237,6.2188401,516,13.539753
1400000US06037103401,6037103401,2022,2391,104,4.3496447,564,23.588457
1400000US06037103402,6037103402,2022,3768,236,6.2632694,685,18.179405
1400000US06037104103,6037104103,2022,4127,194,4.7007513,873,21.153379
1400000US06037104105,6037104105,2022,6193,1405,22.686905,2775,44.808655
1400000US06037104108,6037104108,2022,4962,705,14.207981,1950,39.298672
1400000US06037104124,6037104124,2022,3942,481,12.201928,1267,32.141045
1400000US06037104201,6037104201,2022,4636,529,11.410699,1682,36.281277
1400000US06037104203,6037104203,2022,5158,1047,20.298565,2317,44.920513
1400000US06037104204,6037104204,2022,3338,426,12.762133,1351,40.473339
1400000US06037104310,6037104310,2022,4361,342,7.8422379,1261,28.915386
1400000US06037104321,6037104321,2022,2890,662,22.906574,1120,38.754326
1400000US06037104322,6037104322,2022,1787,91,5.0923333,584,32.68047
1400000US06037104401,6037104401,2022,2977,694,23.312059,1425,47.866982
1400000US06037104403,6037104403,2022,2308,373,16.161179,784,33.968803
1400000US06037104404,6037104404,2022,3293,545,16.550259,1444,43.850594
1400000US06037104500,6037104500,2022,3266,1061,32.486221,1725,52.816902
1400000US06037104610,6037104610,2022,3065,268,8.7438822,1282,41.82708
1400000US06037104620,6037104620,2022,3475,614,17.669065,1529,44
1400000US06037104701,6037104701,2022,3875,898,23.174194,2858,73.754837
1400000US06037104703,6037104703,2022,2298,389,16.927763,1108,48.215839
1400000US06037104704,6037104704,2022,4492,1077,23.975958,2328,51.825466
1400000US06037104821,6037104821,2022,3311,578,17.456963,1235,37.299908
1400000US06037104822,6037104822,2022,2461,633,25.721252,1356,55.099552
1400000US06037104823,6037104823,2022,3362,862,25.6395,1743,51.844139
1400000US06037104824,6037104824,2022,2657,123,4.629281,615,23.146406
1400000US06037106010,6037106010,2022,3573,185,5.177722,512,14.329695
1400000US06037106020,6037106020,2022,4571,864,18.901772,1369,29.949682
1400000US06037106111,6037106111,2022,4854,249,5.1297898,784,16.151627
1400000US06037106112,6037106112,2022,4993,730,14.620469,1107,22.17104
1400000US06037106113,6037106113,2022,3772,209,5.5408273,757,20.06893
1400000US06037106114,6037106114,2022,6800,1486,21.852942,3230,47.5
1400000US06037106403,6037106403,2022,3657,278,7.6018596,1204,32.923161
1400000US06037106405,6037106405,2022,4263,878,20.595825,1593,37.36805
1400000US06037106406,6037106406,2022,6524,251,3.847333,1951,29.904966
1400000US06037106407,6037106407,2022,2185,717,32.814644,1304,59.679634
1400000US06037106408,6037106408,2022,3690,1198,32.466125,2100,56.910568
1400000US06037106510,6037106510,2022,5463,844,15.449387,1464,26.798462
1400000US06037106520,6037106520,2022,5521,841,15.232748,1774,32.131859
1400000US06037106603,6037106603,2022,3540,217,6.1299434,666,18.813559
1400000US06037106604,6037106604,2022,4010,452,11.27182,968,24.13965
1400000US06037106641,6037106641,2022,2176,134,6.1580882,264,12.132353
1400000US06037106642,6037106642,2022,3413,275,8.0574274,435,12.745385
1400000US06037106643,6037106643,2022,4306,73,1.6953089,181,4.2034369
1400000US06037106645,6037106645,2022,3769,191,5.067657,405,10.745556
1400000US06037106646,6037106646,2022,2900,187,6.448276,560,19.310345
1400000US06037106648,6037106648,2022,4581,726,15.848068,1513,33.027721
1400000US06037106649,6037106649,2022,2776,198,7.132565,581,20.929396
1400000US06037107010,6037107010,2022,3110,119,3.8263667,1082,34.790997
1400000US06037107020,6037107020,2022,4610,970,21.041214,1769,38.3731
1400000US06037108101,6037108101,2022,2274,103,4.5294633,160,7.0360599
1400000US06037108102,6037108102,2022,3592,571,15.896437,765,21.297327
1400000US06037108103,6037108103,2022,2968,166,5.5929918,342,11.522911
1400000US06037108104,6037108104,2022,1738,32,1.8411968,130,7.4798617
1400000US06037108202,6037108202,2022,9246,300,3.2446463,854,9.2364264
1400000US06037108203,6037108203,2022,3170,147,4.6372242,372,11.735016
1400000US06037108204,6037108204,2022,1780,37,2.0786517,115,6.4606743
1400000US06037109100,6037109100,2022,2348,211,8.986371,635,27.044292
1400000US06037109200,6037109200,2022,3161,150,4.7453337,265,8.3834229
1400000US06037109300,6037109300,2022,2850,173,6.0701756,474,16.631578
1400000US06037109400,6037109400,2022,4170,181,4.3405275,1118,26.810551
1400000US06037109500,6037109500,2022,3634,534,14.694551,1383,38.057236
1400000US06037109601,6037109601,2022,4831,254,5.2577105,972,20.120058
1400000US06037109603,6037109603,2022,3900,540,13.846154,1246,31.948717
1400000US06037109604,6037109604,2022,2900,248,8.5517244,546,18.827587
1400000US06037109700,6037109700,2022,4273,335,7.8399253,931,21.787971
1400000US06037109800,6037109800,2022,4569,440,9.6301165,690,15.101773
1400000US06037111100,6037111100,2022,3075,159,5.1707315,555,18.04878
1400000US06037111201,6037111201,2022,3251,218,6.7056289,462,14.211012
1400000US06037111202,6037111202,2022,5481,540,9.8522167,1227,22.386425
1400000US06037111204,6037111204,2022,5600,98,1.75,497,8.875
1400000US06037111205,6037111205,2022,3879,305,7.8628511,602,15.519464
1400000US06037111206,6037111206,2022,4354,253,5.8107486,369,8.4749651
1400000US06037111302,6037111302,2022,4763,514,10.791518,1461,30.673944
1400000US06037111303,6037111303,2022,4685,340,7.2572041,1576,33.639275
1400000US06037111304,6037111304,2022,3106,959,30.875725,1404,45.202835
1400000US06037111401,6037111401,2022,2293,76,3.3144352,355,15.481901
1400000US06037111402,6037111402,2022,6041,985,16.305248,2907,48.121174
1400000US06037113101,6037113101,2022,3524,364,10.329171,656,18.61521
1400000US06037113102,6037113102,2022,2773,142,5.1208076,256,9.2318792
1400000US06037113211,6037113211,2022,4213,253,6.0052218,658,15.618324
1400000US06037113212,6037113212,2022,2771,87,3.1396608,597,21.544569
1400000US06037113213,6037113213,2022,4955,216,4.3592329,581,11.72553
1400000US06037113231,6037113231,2022,2160,135,6.25,267,12.361111
1400000US06037113232,6037113232,2022,4470,377,8.4340048,680,15.212528
1400000US06037113234,6037113234,2022,5653,887,15.690784,1596,28.232798
1400000US06037113235,6037113235,2022,1727,75,4.3427911,230,13.317892
1400000US06037113237,6037113237,2022,4725,303,6.4126983,776,16.423281
1400000US06037113238,6037113238,2022,4547,589,12.953596,1718,37.783154
1400000US06037113239,6037113239,2022,2343,330,14.084507,1174,50.106701
1400000US06037113301,6037113301,2022,4826,581,12.038956,966,20.016577
1400000US06037113303,6037113303,2022,3729,255,6.8382945,492,13.193886
1400000US06037113322,6037113322,2022,4562,146,3.2003508,955,20.933802
1400000US06037113323,6037113323,2022,3619,311,8.5935345,724,20.005526
1400000US06037113324,6037113324,2022,2771,170,6.1349692,596,21.50848
1400000US06037113423,6037113423,2022,3077,503,16.347092,876,28.469288
1400000US06037113424,6037113424,2022,3319,273,8.2253695,914,27.538416
1400000US06037113425,6037113425,2022,4499,371,8.2462769,1817,40.386753
1400000US06037113426,6037113426,2022,2322,496,21.360895,799,34.409992
1400000US06037113427,6037113427,2022,2328,337,14.475945,870,37.371136
1400000US06037113428,6037113428,2022,4198,423,10.076227,695,16.555502
1400000US06037115101,6037115101,2022,4655,517,11.106338,784,16.842106
1400000US06037115103,6037115103,2022,26,4,15.384615,26,100
1400000US06037115104,6037115104,2022,4301,1073,24.947687,1602,37.24715
