geoid,geoid20,year,denom_total_pop,american_indian_native_count,american_indian_native_pct,asian_count,asian_pct,black_count,black_pct,latino_count,latino_pct,native_hawaiian_other_count,native_hawaiian_other_pct,other_race_count,other_race_pct,pop_two_or_more_count,pop_two_or_more_pct,white_count,white_pct
1400000US06037101110,6037101110,2022,4014,8,.19930243,390,9.7159939,121,3.0144494,1082,26.955656,0,0,8,.19930243,169,4.2102642,2236,55.705032
1400000US06037101122,6037101122,2022,4164,0,0,582,13.976945,76,1.8251681,362,8.6935635,0,0,12,.28818443,250,6.0038424,2882,69.212296
1400000US06037101220,6037101220,2022,3481,46,1.3214593,433,12.438954,0,0,1463,42.028152,0,0,5,.14363688,49,1.4076415,1485,42.660156
1400000US06037101221,6037101221,2022,3756,0,0,314,8.3599577,101,2.6890309,1204,32.055378,0,0,107,2.8487754,60,1.5974441,1970,52.449413
1400000US06037101222,6037101222,2022,2808,0,0,138,4.9145298,15,.53418803,1295,46.118233,37,1.3176638,0,0,46,1.6381767,1277,45.477207
1400000US06037101300,6037101300,2022,4071,0,0,210,5.1584377,66,1.6212233,608,14.934905,0,0,92,2.259887,97,2.3827069,2998,73.642838
1400000US06037101400,6037101400,2022,3490,0,0,367,10.515759,59,1.6905444,881,25.243553,0,0,0,0,162,4.6418338,2021,57.90831
1400000US06037102103,6037102103,2022,1834,0,0,242,13.195202,23,1.2540895,88,4.798255,0,0,0,0,22,1.1995637,1459,79.552887
1400000US06037102104,6037102104,2022,4033,10,.24795438,473,11.728242,82,2.0332258,461,11.430696,0,0,0,0,278,6.8931317,2729,67.666748
1400000US06037102105,6037102105,2022,1610,19,1.1801243,107,6.6459627,9,.55900621,1087,67.515526,6,.3726708,0,0,58,3.6024845,324,20.124224
1400000US06037102107,6037102107,2022,3577,0,0,356,9.9524746,23,.64299691,886,24.76936,0,0,0,0,122,3.4106793,2190,61.224491
1400000US06037103101,6037103101,2022,2726,0,0,202,7.4101248,5,.18341893,753,27.62289,0,0,11,.40352166,94,3.4482758,1661,60.931767
1400000US06037103102,6037103102,2022,4550,0,0,367,8.0659342,21,.46153846,1089,23.934067,0,0,0,0,136,2.989011,2937,64.549454
1400000US06037103201,6037103201,2022,4291,0,0,306,7.1312051,95,2.2139361,1594,37.147518,6,.13982755,0,0,32,.74574691,2258,52.621765
1400000US06037103202,6037103202,2022,2010,0,0,38,1.8905473,19,.94527364,471,23.432837,0,0,389,19.353233,12,.5970149,1081,53.781094
1400000US06037103300,6037103300,2022,3816,24,.62893081,184,4.8218031,96,2.5157232,477,12.5,0,0,0,0,299,7.8354297,2736,71.698112
1400000US06037103401,6037103401,2022,2391,15,.6273526,476,19.907988,0,0,276,11.543287,0,0,0,0,82,3.4295273,1542,64.491844
1400000US06037103402,6037103402,2022,3829,0,0,457,11.935231,371,9.6892138,607,15.852703,0,0,25,.65291196,86,2.2460172,2283,59.623924
1400000US06037104103,6037104103,2022,4281,0,0,230,5.3725767,561,13.104415,3070,71.712219,0,0,37,.86428404,95,2.2191076,288,6.7274003
1400000US06037104105,6037104105,2022,6195,0,0,298,4.8103309,164,2.6472962,5327,85.988701,0,0,0,0,53,.85552865,353,5.6981435
1400000US06037104108,6037104108,2022,4962,0,0,71,1.4308747,298,6.0056429,4435,89.37928,0,0,15,.30229747,41,.8262797,102,2.0556228
1400000US06037104124,6037104124,2022,4006,7,.1747379,330,8.2376432,524,13.080379,1867,46.605091,0,0,0,0,44,1.0983524,1234,30.803795
1400000US06037104201,6037104201,2022,4636,33,.71182054,167,3.6022434,527,11.367558,3893,83.973251,0,0,0,0,0,0,16,.34512511
1400000US06037104203,6037104203,2022,5182,0,0,86,1.6595908,192,3.7051332,4852,93.631805,0,0,10,.19297569,17,.32805866,25,.48243922
1400000US06037104204,6037104204,2022,3691,40,1.0837171,202,5.4727716,190,5.1476564,2854,77.323219,0,0,0,0,31,.83988076,374,10.132755
1400000US06037104310,6037104310,2022,4392,0,0,8,.18214937,77,1.7531877,4081,92.918945,0,0,122,2.7777777,12,.27322406,92,2.0947177
1400000US06037104321,6037104321,2022,2890,7,.24221453,0,0,50,1.7301039,2747,95.051903,0,0,45,1.5570934,31,1.0726644,10,.34602076
1400000US06037104322,6037104322,2022,1787,2,.11191942,16,.89535534,5,.27979854,1634,91.438164,4,.22383884,0,0,35,1.9585898,91,5.0923333
1400000US06037104401,6037104401,2022,2977,0,0,38,1.2764528,30,1.007726,2829,95.028549,0,0,0,0,0,0,80,2.687269
1400000US06037104403,6037104403,2022,2352,0,0,111,4.7193875,0,0,2202,93.622452,0,0,0,0,0,0,39,1.6581633
1400000US06037104404,6037104404,2022,3323,0,0,83,2.4977429,0,0,3196,96.178154,0,0,0,0,0,0,44,1.3241047
1400000US06037104500,6037104500,2022,3301,7,.21205695,1,.03029385,2,.0605877,3228,97.788551,0,0,7,.21205695,0,0,56,1.6964556
1400000US06037104610,6037104610,2022,3122,0,0,0,0,0,0,3035,97.213326,0,0,0,0,0,0,87,2.7866752
1400000US06037104620,6037104620,2022,3528,0,0,0,0,12,.34013605,3435,97.363945,0,0,0,0,0,0,81,2.2959185
1400000US06037104701,6037104701,2022,3891,0,0,8,.20560268,6,.154202,3837,98.612183,13,.33410433,0,0,0,0,27,.69390905
1400000US06037104703,6037104703,2022,2298,0,0,0,0,123,5.3524804,1994,86.771103,0,0,0,0,15,.65274149,166,7.2236729
1400000US06037104704,6037104704,2022,4567,0,0,203,4.444931,394,8.6271076,3533,77.359314,0,0,0,0,123,2.693234,314,6.8754106
1400000US06037104821,6037104821,2022,3431,0,0,37,1.0784028,39,1.1366948,3170,92.392891,0,0,0,0,27,.7869426,158,4.6050715
1400000US06037104822,6037104822,2022,2461,0,0,81,3.2913449,0,0,2298,93.376678,0,0,0,0,37,1.5034539,45,1.8285249
1400000US06037104823,6037104823,2022,3362,0,0,251,7.4657941,130,3.8667459,2904,86.377159,0,0,0,0,0,0,77,2.2903035
1400000US06037104824,6037104824,2022,2657,57,2.1452765,0,0,0,0,2575,96.913811,13,.48927361,0,0,0,0,12,.45163718
1400000US06037106010,6037106010,2022,3578,0,0,56,1.5651202,27,.75461149,2422,67.691444,0,0,96,2.6830633,42,1.1738402,935,26.131918
1400000US06037106020,6037106020,2022,4576,0,0,242,5.2884617,10,.21853147,3706,80.987762,0,0,39,.85227275,99,2.1634614,480,10.489511
1400000US06037106111,6037106111,2022,4859,0,0,761,15.661659,209,4.3012967,2707,55.711052,0,0,31,.63799137,30,.61741102,1121,23.070591
1400000US06037106112,6037106112,2022,5125,0,0,414,8.0780487,168,3.2780488,3575,69.756096,34,.66341466,0,0,70,1.3658537,864,16.858536
1400000US06037106113,6037106113,2022,3871,27,.69749421,365,9.4290876,50,1.2916559,2916,75.329369,1,.025833119,0,0,18,.46499613,494,12.76156
1400000US06037106114,6037106114,2022,6800,10,.14705883,755,11.102942,130,1.9117647,5573,81.955879,0,0,0,0,42,.61764705,290,4.2647057
1400000US06037106403,6037106403,2022,3701,0,0,52,1.4050257,59,1.5941638,3233,87.354767,69,1.8643609,0,0,0,0,288,7.7816806
1400000US06037106405,6037106405,2022,4340,0,0,272,6.2672811,295,6.797235,3083,71.036865,0,0,0,0,62,1.4285715,628,14.470046
1400000US06037106406,6037106406,2022,6534,0,0,521,7.9736762,123,1.882461,4583,70.1408,0,0,0,0,20,.30609122,1287,19.69697
1400000US06037106407,6037106407,2022,2352,0,0,69,2.9336734,191,8.1207485,1843,78.358841,0,0,3,.12755102,5,.21258503,241,10.246598
1400000US06037106408,6037106408,2022,3733,0,0,79,2.1162603,94,2.5180819,3445,92.285027,0,0,16,.4286097,0,0,99,2.6520226
1400000US06037106510,6037106510,2022,5717,0,0,1275,22.301907,118,2.0640197,3309,57.880009,0,0,92,1.6092356,217,3.795697,706,12.349134
1400000US06037106520,6037106520,2022,5545,0,0,163,2.9395852,289,5.2119026,4758,85.80703,0,0,0,0,26,.46889091,309,5.572588
1400000US06037106603,6037106603,2022,3544,0,0,570,16.083521,83,2.3419864,1050,29.627539,0,0,0,0,102,2.8781037,1739,49.068848
1400000US06037106604,6037106604,2022,4010,0,0,202,5.0374064,102,2.5436409,3489,87.007484,0,0,0,0,0,0,217,5.4114714
1400000US06037106641,6037106641,2022,2197,0,0,349,15.885298,51,2.3213472,116,5.2799273,0,0,0,0,142,6.4633594,1539,70.050072
1400000US06037106642,6037106642,2022,3442,0,0,242,7.0307961,82,2.3823359,728,21.150494,0,0,0,0,90,2.614759,2300,66.821617
1400000US06037106643,6037106643,2022,4306,0,0,885,20.552717,245,5.6897354,470,10.915002,0,0,438,10.171853,39,.90571296,2229,51.76498
1400000US06037106645,6037106645,2022,3769,66,1.7511276,382,10.135314,9,.23879012,923,24.489254,0,0,0,0,96,2.5470948,2293,60.838417
1400000US06037106646,6037106646,2022,3011,10,.33211559,542,18.000664,146,4.8488874,802,26.63567,0,0,52,1.727001,196,6.5094652,1263,41.946198
1400000US06037106648,6037106648,2022,4581,24,.52390307,0,0,0,0,4328,94.477188,0,0,0,0,0,0,229,4.9989085
1400000US06037106649,6037106649,2022,2776,10,.36023054,536,19.308357,28,1.0086455,1916,69.020172,0,0,0,0,41,1.4769453,245,8.8256483
1400000US06037107010,6037107010,2022,3177,65,2.0459554,97,3.0531948,28,.8813346,2859,89.990555,0,0,0,0,0,0,128,4.0289583
1400000US06037107020,6037107020,2022,4610,0,0,182,3.9479392,46,.99783081,4044,87.722343,30,.65075922,0,0,30,.65075922,278,6.0303688
1400000US06037108101,6037108101,2022,2274,0,0,501,22.031662,32,1.407212,524,23.043097,0,0,0,0,63,2.7704484,1154,50.747581
1400000US06037108102,6037108102,2022,3596,0,0,1353,37.625137,56,1.5572859,430,11.957731,0,0,0,0,54,1.5016686,1703,47.358177
1400000US06037108103,6037108103,2022,2968,0,0,757,25.50539,59,1.9878706,250,8.4231806,0,0,45,1.5161725,173,5.8288407,1684,56.738544
1400000US06037108104,6037108104,2022,1738,0,0,374,21.518988,81,4.6605291,167,9.6087456,0,0,156,8.9758339,37,2.1288838,923,53.107021
1400000US06037108202,6037108202,2022,9302,36,.38701355,3609,38.798107,1457,15.663299,745,8.0090303,45,.48376694,57,.61277145,385,4.138895,2968,31.907116
1400000US06037108203,6037108203,2022,3170,0,0,1307,41.230286,533,16.813881,265,8.359621,0,0,0,0,44,1.3880126,1021,32.208202
1400000US06037108204,6037108204,2022,1780,11,.6179775,886,49.77528,95,5.3370786,89,5,0,0,0,0,50,2.8089888,649,36.460674
1400000US06037109100,6037109100,2022,2675,0,0,462,17.271029,97,3.6261683,1287,48.112148,0,0,0,0,0,0,829,30.990654
1400000US06037109200,6037109200,2022,3161,0,0,1113,35.210377,118,3.732996,1213,38.373932,0,0,0,0,55,1.7399557,662,20.942739
1400000US06037109300,6037109300,2022,2864,0,0,425,14.839385,89,3.1075418,1402,48.952515,0,0,37,1.2918994,163,5.6913409,748,26.117319
1400000US06037109400,6037109400,2022,4175,0,0,112,2.6826348,17,.40718561,3255,77.964073,262,6.2754493,18,.43113771,0,0,511,12.239521
1400000US06037109500,6037109500,2022,3699,0,0,225,6.082725,13,.35144633,3352,90.619087,0,0,0,0,0,0,109,2.9467423
1400000US06037109601,6037109601,2022,4831,0,0,475,9.8323326,94,1.9457669,3000,62.098946,0,0,8,.16559719,202,4.1813288,1052,21.77603
1400000US06037109603,6037109603,2022,3900,0,0,469,12.025641,86,2.2051282,2796,71.692307,1,.025641026,64,1.6410257,23,.58974361,461,11.820513
1400000US06037109604,6037109604,2022,2900,0,0,268,9.2413797,75,2.5862069,2073,71.482758,1,.034482758,92,3.1724138,46,1.5862069,345,11.896552
1400000US06037109700,6037109700,2022,4333,0,0,580,13.385645,128,2.9540734,1600,36.925919,0,0,26,.60004616,273,6.3004847,1726,39.833832
1400000US06037109800,6037109800,2022,4584,137,2.9886563,444,9.6858635,27,.58900523,2490,54.31937,0,0,0,0,44,.95986038,1442,31.457243
1400000US06037111100,6037111100,2022,3076,5,.16254877,696,22.626787,103,3.3485045,1328,43.172951,0,0,21,.68270481,126,4.0962291,797,25.910273
1400000US06037111201,6037111201,2022,3256,0,0,491,15.079852,10,.3071253,1529,46.959461,0,0,15,.46068797,14,.42997542,1197,36.762897
1400000US06037111202,6037111202,2022,5670,34,.59964728,1210,21.340387,196,3.4567902,1614,28.465609,0,0,45,.79365081,200,3.5273368,2371,41.816578
1400000US06037111204,6037111204,2022,5600,9,.16071428,1302,23.25,126,2.25,1094,19.535715,0,0,95,1.6964285,346,6.1785712,2628,46.92857
1400000US06037111205,6037111205,2022,3879,0,0,994,25.62516,136,3.5060582,1167,30.085073,0,0,61,1.5725702,146,3.7638566,1375,35.447281
1400000US06037111206,6037111206,2022,4363,0,0,950,21.774008,283,6.4863625,826,18.931927,0,0,6,.13752006,256,5.8675222,2042,46.802658
1400000US06037111302,6037111302,2022,4880,4,.081967212,997,20.430328,308,6.3114753,1292,26.47541,6,.12295082,0,0,123,2.5204918,2150,44.057377
1400000US06037111303,6037111303,2022,4712,0,0,925,19.63073,115,2.4405773,1238,26.273344,0,0,0,0,133,2.8225806,2301,48.832767
1400000US06037111304,6037111304,2022,3106,0,0,468,15.067611,326,10.495814,1524,49.066322,0,0,59,1.8995492,223,7.1796522,506,16.29105
1400000US06037111401,6037111401,2022,2293,0,0,362,15.787178,32,1.3955517,770,33.580463,0,0,0,0,0,0,1129,49.236809
1400000US06037111402,6037111402,2022,6146,0,0,935,15.213147,16,.26033193,2622,42.661896,0,0,23,.37422714,52,.84607875,2498,40.644321
1400000US06037113101,6037113101,2022,3525,0,0,543,15.404255,172,4.8794327,640,18.156029,0,0,0,0,103,2.9219859,2067,58.638298
1400000US06037113102,6037113102,2022,2784,0,0,422,15.158046,31,1.1135057,508,18.247126,0,0,41,1.4727012,314,11.278735,1468,52.729885
1400000US06037113211,6037113211,2022,4248,8,.18832392,662,15.583804,492,11.581921,714,16.807909,0,0,58,1.3653485,195,4.5903955,2119,49.882298
1400000US06037113212,6037113212,2022,2888,12,.41551247,828,28.670361,119,4.1204987,882,30.540167,0,0,0,0,182,6.301939,865,29.951523
1400000US06037113213,6037113213,2022,5087,7,.13760567,1048,20.601534,162,3.1845882,1657,32.573227,0,0,35,.68802834,364,7.1554942,1814,35.659523
1400000US06037113231,6037113231,2022,2161,0,0,177,8.1906528,85,3.9333642,182,8.4220266,0,0,0,0,284,13.142064,1433,66.31189
1400000US06037113232,6037113232,2022,4596,0,0,630,13.707572,192,4.1775455,920,20.017406,0,0,8,.1740644,305,6.6362052,2541,55.287205
1400000US06037113234,6037113234,2022,5653,0,0,843,14.912436,265,4.6877766,3354,59.331329,0,0,0,0,16,.28303555,1175,20.785423
1400000US06037113235,6037113235,2022,1727,0,0,51,2.9530978,82,4.7481179,514,29.762594,0,0,19,1.1001737,201,11.63868,860,49.797337
1400000US06037113237,6037113237,2022,4725,0,0,804,17.015873,419,8.8677244,1343,28.423281,0,0,15,.31746033,318,6.7301588,1826,38.645504
1400000US06037113238,6037113238,2022,4547,0,0,828,18.209808,164,3.6067736,2619,57.598415,0,0,31,.68176818,130,2.8590279,775,17.044205
1400000US06037113239,6037113239,2022,2343,25,1.0670081,285,12.163893,298,12.718737,1144,48.82629,10,.42680323,0,0,14,.59752452,567,24.199743
1400000US06037113301,6037113301,2022,4830,0,0,1068,22.111801,260,5.3830228,895,18.53002,40,.82815737,0,0,28,.57971013,2539,52.567287
1400000US06037113303,6037113303,2022,3774,28,.74191839,697,18.468468,81,2.1462638,1102,29.199787,0,0,32,.84790671,117,3.1001589,1717,45.495495
1400000US06037113322,6037113322,2022,4584,1,.021815009,524,11.431065,614,13.394415,1091,23.800175,0,0,0,0,111,2.4214659,2243,48.931065
1400000US06037113323,6037113323,2022,3619,0,0,481,13.290964,124,3.4263608,1525,42.138714,59,1.6302847,0,0,128,3.5368886,1302,35.976788
1400000US06037113324,6037113324,2022,2771,0,0,324,11.69253,178,6.4236736,1466,52.905087,0,0,13,.4691447,18,.64958501,772,27.859978
1400000US06037113423,6037113423,2022,3077,0,0,270,8.7747803,50,1.6249593,1834,59.603512,0,0,0,0,134,4.3548913,789,25.641859
1400000US06037113424,6037113424,2022,3346,0,0,644,19.246862,89,2.6598923,1511,45.158398,0,0,16,.47818291,217,6.4853559,869,25.97131
1400000US06037113425,6037113425,2022,4499,0,0,276,6.1346965,304,6.7570572,3210,71.34919,0,0,3,.066681482,151,3.3563013,555,12.336075
1400000US06037113426,6037113426,2022,2322,0,0,414,17.829458,15,.64599484,1160,49.956932,0,0,13,.5598622,55,2.3686478,665,28.639105
1400000US06037113427,6037113427,2022,2360,0,0,327,13.855932,325,13.771187,1188,50.338982,0,0,0,0,76,3.2203391,444,18.813559
1400000US06037113428,6037113428,2022,4222,0,0,528,12.505921,0,0,1660,39.31786,0,0,0,0,114,2.7001421,1920,45.476078
1400000US06037115101,6037115101,2022,4678,0,0,723,15.455323,29,.61992306,1015,21.697306,0,0,0,0,385,8.2300129,2526,53.997437
1400000US06037115103,6037115103,2022,2725,0,0,574,21.06422,223,8.183486,844,30.972477,0,0,6,.22018349,152,5.5779815,926,33.981651
1400000US06037115104,6037115104,2022,4327,71,1.6408597,1067,24.659117,732,16.917032,991,22.902704,0,0,3,.0693321,161,3.7208228,1302,30.090132
1400000US06037115202,6037115202,2022,6010,0,0,877,14.592346,273,4.5424294,3011,50.099834,60,.99833608,35,.58236271,173,2.8785357,1581,26.306156
1400000US06037115203,6037115203,2022,2236,21,.9391771,303,13.550983,79,3.5330949,1134,50.715565,0,0,0,0,0,0,699,31.261181
1400000US06037115204,6037115204,2022,3806,0,0,617,16.211245,583,15.317919,1011,26.56332,0,0,2,.052548606,147,3.8623226,1446,37.992641
1400000US06037115301,6037115301,2022,4511,0,0,1347,29.860342,114,2.5271559,1130,25.049877,0,0,37,.82021725,245,5.4311681,1638,36.311237
1400000US06037115302,6037115302,2022,3912,19,.48568508,331,8.4611454,155,3.9621677,2947,75.332314,0,0,0,0,16,.40899795,444,11.349693
1400000US06037115401,6037115401,2022,5847,0,0,1043,17.838207,268,4.5835471,2570,43.954166,0,0,0,0,79,1.3511202,1887,32.272961
1400000US06037115403,6037115403,2022,3477,0,0,444,12.769629,182,5.2343974,2212,63.618061,0,0,7,.20132297,146,4.1990223,486,13.977567
1400000US06037115404,6037115404,2022,2830,0,0,576,20.353357,184,6.5017667,1202,42.473499,0,0,0,0,175,6.1837454,693,24.487633
1400000US06037117101,6037117101,2022,5252,0,0,1409,26.827875,535,10.186596,2056,39.146992,0,0,32,.60929167,237,4.5125666,983,18.716679
1400000US06037117102,6037117102,2022,2504,0,0,359,14.337061,70,2.7955272,1505,60.103832,0,0,37,1.4776357,8,.31948882,525,20.966454
1400000US06037117201,6037117201,2022,4250,0,0,616,14.494118,77,1.8117647,2830,66.588234,0,0,135,3.1764705,93,2.1882353,499,11.741177
1400000US06037117202,6037117202,2022,2853,6,.21030495,690,24.185068,134,4.6968102,1148,40.238346,0,0,0,0,111,3.8906415,764,26.77883
1400000US06037117301,6037117301,2022,3632,0,0,628,17.290749,156,4.2951541,1412,38.876652,0,0,17,.46806169,273,7.51652,1146,31.552864
1400000US06037117302,6037117302,2022,4957,0,0,1022,20.61731,327,6.5967317,1447,29.191044,0,0,32,.64555174,126,2.5418601,2003,40.407505
1400000US06037117303,6037117303,2022,4428,0,0,586,13.233966,299,6.7524843,2417,54.584461,0,0,0,0,39,.88075882,1087,24.548328
1400000US06037117404,6037117404,2022,5548,6,.10814708,676,12.184571,377,6.7952414,2564,46.214851,0,0,0,0,171,3.0821917,1754,31.614996
1400000US06037117405,6037117405,2022,3176,0,0,29,.91309822,81,2.5503778,2886,90.869019,0,0,22,.6926952,10,.31486145,148,4.6599498
1400000US06037117407,6037117407,2022,3566,0,0,86,2.4116657,23,.64498037,3349,93.914749,0,0,0,0,84,2.3555806,24,.67302299
1400000US06037117408,6037117408,2022,2404,0,0,162,6.7387686,203,8.4442596,1817,75.582359,0,0,6,.24958402,17,.70715475,199,8.2778702
1400000US06037117510,6037117510,2022,3807,31,.81428945,254,6.6719203,185,4.8594694,3048,80.063042,0,0,0,0,0,0,289,7.591279
1400000US06037117520,6037117520,2022,4571,0,0,279,6.1036973,138,3.019033,3819,83.548454,0,0,8,.1750164,57,1.2469919,270,5.9068036
1400000US06037117530,6037117530,2022,5963,0,0,781,13.097434,190,3.1863155,4424,74.190842,0,0,0,0,93,1.5596176,475,7.9657888
1400000US06037119001,6037119001,2022,4462,40,.89645898,819,18.354998,17,.38099506,3113,69.766922,16,.3585836,4,.0896459,19,.42581803,434,9.7265797
1400000US06037119003,6037119003,2022,3895,0,0,257,6.5982027,13,.33376125,3473,89.165596,0,0,0,0,49,1.2580231,103,2.6444159
1400000US06037119004,6037119004,2022,2768,0,0,282,10.187861,0,0,2257,81.539017,0,0,0,0,0,0,229,8.2731218
1400000US06037119201,6037119201,2022,4412,31,.70262921,192,4.351768,35,.79329103,3819,86.559387,0,0,0,0,23,.5213055,312,7.0716228
1400000US06037119202,6037119202,2022,4766,28,.58749473,380,7.9731431,10,.20981956,4149,87.054131,0,0,0,0,25,.52454889,174,3.6508603
1400000US06037119310,6037119310,2022,3931,8,.20351055,783,19.918596,196,4.9860086,2360,60.035614,0,0,0,0,2,.050877638,582,14.805393
1400000US06037119320,6037119320,2022,4475,0,0,631,14.100558,165,3.687151,3197,71.441338,0,0,0,0,0,0,482,10.770949
1400000US06037119340,6037119340,2022,3905,0,0,110,2.8169014,80,2.0486555,3625,92.829704,0,0,0,0,0,0,90,2.3047376
1400000US06037119341,6037119341,2022,2750,0,0,567,20.618181,95,3.4545455,1825,66.36364,8,.29090908,9,.32727271,3,.10909091,243,8.8363638
1400000US06037119342,6037119342,2022,2850,11,.3859649,403,14.140351,21,.7368421,2209,77.508774,0,0,0,0,16,.56140351,190,6.6666665
1400000US06037119400,6037119400,2022,5061,0,0,390,7.705987,53,1.0472239,4037,79.766846,0,0,0,0,65,1.2843312,516,10.195614
1400000US06037119700,6037119700,2022,4269,0,0,1030,24.12743,18,.42164442,1969,46.123215,0,0,28,.6558913,144,3.3731554,1080,25.298664
1400000US06037119801,6037119801,2022,2556,0,0,207,8.0985918,13,.50860721,1949,76.251953,0,0,0,0,38,1.4866979,349,13.654147
1400000US06037119802,6037119802,2022,3238,0,0,479,14.793082,16,.49413219,2527,78.042,25,.77208155,0,0,11,.33971587,180,5.5589871
1400000US06037119900,6037119900,2022,4521,19,.420261,711,15.726609,32,.70780802,3346,74.010178,0,0,4,.088476002,31,.68568903,378,8.3609819
1400000US06037120010,6037120010,2022,2700,0,0,376,13.925926,52,1.925926,2066,76.518517,0,0,0,0,17,.62962961,189,7
1400000US06037120020,6037120020,2022,4359,11,.25235146,744,17.068134,303,6.9511356,3096,71.025467,31,.71117228,0,0,46,1.055288,128,2.9364533
1400000US06037120030,6037120030,2022,2614,13,.49732211,130,4.9732213,11,.42081103,2291,87.643456,0,0,0,0,11,.42081103,158,6.0443764
1400000US06037120103,6037120103,2022,3030,0,0,117,3.8613861,18,.59405941,2818,93.003304,0,0,0,0,0,0,77,2.541254
1400000US06037120104,6037120104,2022,2375,22,.92631578,354,14.905263,184,7.7473683,1450,61.052631,0,0,0,0,111,4.6736841,254,10.694736
