geoid,geoid20,year,total_pop,snap_accepting_count,snap_rate
1400000US06037101122,6037101122,2023,4247,1,2.3546033
1400000US06037101220,6037101220,2023,3583,3,8.3728724
1400000US06037101221,6037101221,2023,3723,1,2.6860058
1400000US06037101222,6037101222,2023,2690,2,7.4349442
1400000US06037101300,6037101300,2023,4068,5,12.291052
1400000US06037101400,6037101400,2023,3372,3,8.8967972
1400000US06037102107,6037102107,2023,3920,1,2.5510204
1400000US06037103102,6037103102,2023,4692,4,8.5251493
1400000US06037103201,6037103201,2023,4179,3,7.178751
1400000US06037103202,6037103202,2023,2082,1,4.8030739
1400000US06037103300,6037103300,2023,3842,2,5.2056222
1400000US06037103401,6037103401,2023,2643,1,3.7835793
1400000US06037103402,6037103402,2023,3902,4,10.251153
1400000US06037104108,6037104108,2023,5138,7,13.623979
1400000US06037104124,6037104124,2023,3889,1,2.5713551
1400000US06037104201,6037104201,2023,4599,3,6.5231571
1400000US06037104203,6037104203,2023,5178,2,3.8624952
1400000US06037104204,6037104204,2023,3749,3,8.0021343
1400000US06037104310,6037104310,2023,4875,1,2.0512822
1400000US06037104321,6037104321,2023,3115,4,12.841091
1400000US06037104322,6037104322,2023,1892,2,10.570825
1400000US06037104401,6037104401,2023,3066,1,3.2615786
1400000US06037104403,6037104403,2023,2724,2,7.342144
1400000US06037104404,6037104404,2023,3413,6,17.579842
1400000US06037104500,6037104500,2023,3119,1,3.2061558
1400000US06037104610,6037104610,2023,3274,1,3.0543678
1400000US06037104620,6037104620,2023,3490,1,2.8653295
1400000US06037104701,6037104701,2023,3812,1,2.6232948
1400000US06037104704,6037104704,2023,4487,3,6.6859818
1400000US06037104822,6037104822,2023,2668,4,14.992504
1400000US06037104824,6037104824,2023,2781,2,7.1916575
1400000US06037106010,6037106010,2023,3494,1,2.8620493
1400000US06037106113,6037106113,2023,3797,2,5.2673163
1400000US06037106114,6037106114,2023,6658,2,3.0039051
1400000US06037106403,6037106403,2023,3501,4,11.425307
1400000US06037106405,6037106405,2023,4405,1,2.2701476
1400000US06037106406,6037106406,2023,6360,3,4.7169809
1400000US06037106407,6037106407,2023,2558,4,15.637217
1400000US06037106408,6037106408,2023,3749,1,2.6673779
1400000US06037106510,6037106510,2023,5738,3,5.2283025
1400000US06037106604,6037106604,2023,3749,2,5.3347559
1400000US06037106646,6037106646,2023,3002,1,3.3311126
1400000US06037106648,6037106648,2023,4570,3,6.5645514
1400000US06037106649,6037106649,2023,2816,1,3.5511363
1400000US06037107010,6037107010,2023,3118,3,9.6215525
1400000US06037107020,6037107020,2023,5337,1,1.8737118
1400000US06037108102,6037108102,2023,3439,3,8.7234659
1400000US06037108204,6037108204,2023,1831,3,16.384489
1400000US06037109100,6037109100,2023,2558,2,7.8186083
1400000US06037109200,6037109200,2023,2863,1,3.4928396
1400000US06037109300,6037109300,2023,2846,3,10.54111
1400000US06037109500,6037109500,2023,4238,4,9.4384146
1400000US06037109603,6037109603,2023,4235,1,2.3612752
1400000US06037109604,6037109604,2023,2812,7,24.893314
1400000US06037109800,6037109800,2023,4766,2,4.1963911
1400000US06037111100,6037111100,2023,3058,1,3.2701111
1400000US06037111201,6037111201,2023,3462,6,17.331022
1400000US06037111202,6037111202,2023,5749,5,8.6971645
1400000US06037111205,6037111205,2023,3761,2,5.3177347
1400000US06037111206,6037111206,2023,4361,4,9.1722078
1400000US06037111302,6037111302,2023,4895,2,4.0858016
1400000US06037111303,6037111303,2023,4975,8,16.080402
1400000US06037111304,6037111304,2023,2987,3,10.043522
1400000US06037111401,6037111401,2023,2265,2,8.8300219
1400000US06037111402,6037111402,2023,6294,2,3.1776295
1400000US06037113101,6037113101,2023,3580,1,2.7932961
1400000US06037113102,6037113102,2023,2717,3,11.04159
1400000US06037113212,6037113212,2023,3163,4,12.646222
1400000US06037113213,6037113213,2023,5176,1,1.9319938
1400000US06037113231,6037113231,2023,2230,1,4.4843049
1400000US06037113232,6037113232,2023,4973,2,4.0217171
1400000US06037113234,6037113234,2023,5371,2,3.7237015
1400000US06037113237,6037113237,2023,5130,3,5.8479533
