geoid,geoid20,year,total_pop
1400000US06037101110,6037101110,2022,4014
1400000US06037101122,6037101122,2022,4164
1400000US06037101220,6037101220,2022,3481
1400000US06037101221,6037101221,2022,3756
1400000US06037101222,6037101222,2022,2808
1400000US06037101300,6037101300,2022,4071
1400000US06037101400,6037101400,2022,3490
1400000US06037102103,6037102103,2022,1834
1400000US06037102104,6037102104,2022,4033
1400000US06037102105,6037102105,2022,1610
1400000US06037102107,6037102107,2022,3577
1400000US06037103101,6037103101,2022,2726
1400000US06037103102,6037103102,2022,4550
1400000US06037103201,6037103201,2022,4291
1400000US06037103202,6037103202,2022,2010
1400000US06037103300,6037103300,2022,3816
1400000US06037103401,6037103401,2022,2391
1400000US06037103402,6037103402,2022,3829
1400000US06037104103,6037104103,2022,4281
1400000US06037104105,6037104105,2022,6195
1400000US06037104108,6037104108,2022,4962
1400000US06037104124,6037104124,2022,4006
1400000US06037104201,6037104201,2022,4636
1400000US06037104203,6037104203,2022,5182
1400000US06037104204,6037104204,2022,3691
1400000US06037104310,6037104310,2022,4392
1400000US06037104321,6037104321,2022,2890
1400000US06037104322,6037104322,2022,1787
1400000US06037104401,6037104401,2022,2977
1400000US06037104403,6037104403,2022,2352
1400000US06037104404,6037104404,2022,3323
1400000US06037104500,6037104500,2022,3301
1400000US06037104610,6037104610,2022,3122
1400000US06037104620,6037104620,2022,3528
1400000US06037104701,6037104701,2022,3891
1400000US06037104703,6037104703,2022,2298
1400000US06037104704,6037104704,2022,4567
1400000US06037104821,6037104821,2022,3431
1400000US06037104822,6037104822,2022,2461
1400000US06037104823,6037104823,2022,3362
1400000US06037104824,6037104824,2022,2657
1400000US06037106010,6037106010,2022,3578
1400000US06037106020,6037106020,2022,4576
1400000US06037106111,6037106111,2022,4859
1400000US06037106112,6037106112,2022,5125
1400000US06037106113,6037106113,2022,3871
1400000US06037106114,6037106114,2022,6800
1400000US06037106403,6037106403,2022,3701
1400000US06037106405,6037106405,2022,4340
1400000US06037106406,6037106406,2022,6534
1400000US06037106407,6037106407,2022,2352
1400000US06037106408,6037106408,2022,3733
1400000US06037106510,6037106510,2022,5717
1400000US06037106520,6037106520,2022,5545
1400000US06037106603,6037106603,2022,3544
1400000US06037106604,6037106604,2022,4010
1400000US06037106641,6037106641,2022,2197
1400000US06037106642,6037106642,2022,3442
1400000US06037106643,6037106643,2022,4306
1400000US06037106645,6037106645,2022,3769
1400000US06037106646,6037106646,2022,3011
1400000US06037106648,6037106648,2022,4581
1400000US06037106649,6037106649,2022,2776
1400000US06037107010,6037107010,2022,3177
1400000US06037107020,6037107020,2022,4610
1400000US06037108101,6037108101,2022,2274
1400000US06037108102,6037108102,2022,3596
1400000US06037108103,6037108103,2022,2968
1400000US06037108104,6037108104,2022,1738
1400000US06037108202,6037108202,2022,9302
1400000US06037108203,6037108203,2022,3170
1400000US06037108204,6037108204,2022,1780
1400000US06037109100,6037109100,2022,2675
1400000US06037109200,6037109200,2022,3161
1400000US06037109300,6037109300,2022,2864
1400000US06037109400,6037109400,2022,4175
1400000US06037109500,6037109500,2022,3699
1400000US06037109601,6037109601,2022,4831
1400000US06037109603,6037109603,2022,3900
1400000US06037109604,6037109604,2022,2900
1400000US06037109700,6037109700,2022,4333
1400000US06037109800,6037109800,2022,4584
1400000US06037111100,6037111100,2022,3076
1400000US06037111201,6037111201,2022,3256
1400000US06037111202,6037111202,2022,5670
1400000US06037111204,6037111204,2022,5600
1400000US06037111205,6037111205,2022,3879
1400000US06037111206,6037111206,2022,4363
1400000US06037111302,6037111302,2022,4880
1400000US06037111303,6037111303,2022,4712
1400000US06037111304,6037111304,2022,3106
1400000US06037111401,6037111401,2022,2293
1400000US06037111402,6037111402,2022,6146
1400000US06037113101,6037113101,2022,3525
1400000US06037113102,6037113102,2022,2784
1400000US06037113211,6037113211,2022,4248
1400000US06037113212,6037113212,2022,2888
1400000US06037113213,6037113213,2022,5087
1400000US06037113231,6037113231,2022,2161
1400000US06037113232,6037113232,2022,4596
1400000US06037113234,6037113234,2022,5653
1400000US06037113235,6037113235,2022,1727
1400000US06037113237,6037113237,2022,4725
1400000US06037113238,6037113238,2022,4547
1400000US06037113239,6037113239,2022,2343
1400000US06037113301,6037113301,2022,4830
1400000US06037113303,6037113303,2022,3774
1400000US06037113322,6037113322,2022,4584
1400000US06037113323,6037113323,2022,3619
1400000US06037113324,6037113324,2022,2771
1400000US06037113423,6037113423,2022,3077
1400000US06037113424,6037113424,2022,3346
1400000US06037113425,6037113425,2022,4499
1400000US06037113426,6037113426,2022,2322
1400000US06037113427,6037113427,2022,2360
1400000US06037113428,6037113428,2022,4222
1400000US06037115101,6037115101,2022,4678
1400000US06037115103,6037115103,2022,2725
1400000US06037115104,6037115104,2022,4327
1400000US06037115202,6037115202,2022,6010
1400000US06037115203,6037115203,2022,2236
1400000US06037115204,6037115204,2022,3806
1400000US06037115301,6037115301,2022,4511
1400000US06037115302,6037115302,2022,3912
1400000US06037115401,6037115401,2022,5847
1400000US06037115403,6037115403,2022,3477
1400000US06037115404,6037115404,2022,2830
1400000US06037117101,6037117101,2022,5252
1400000US06037117102,6037117102,2022,2504
1400000US06037117201,6037117201,2022,4250
