geoid,geoid20,year,denom_enrolled,frpl_count,frpl_pct,freemeals_count,reducedmeals_count,food_desert,denom_known_poverty,pop_below_100_count,pop_below_100_pct,pop_below_200_count,pop_below_200_pct,total_pop
1400000US06037101110,6037101110,2022,1183,917,77.510002,782,135,no,3927,342,8.7089376,897,22.841864,4014
1400000US06037101220,6037101220,2022,176,161,91.480003,154,7,no,3481,557,16.001148,972,27.92301,3481
1400000US06037101300,6037101300,2022,464,324,69.830002,271,53,no,4024,246,6.1133199,654,16.252485,4071
1400000US06037102107,6037102107,2022,858,692,80.650002,583,109,no,3459,464,13.414282,867,25.065048,3577
1400000US06037103101,6037103101,2022,748,616,82.349998,558,58,no,2726,91,3.3382244,485,17.791636,2726
1400000US06037103102,6037103102,2022,552,448,81.160004,417,31,no,4520,382,8.4513273,993,21.969027,4550
1400000US06037103202,6037103202,2022,115,89,77.389999,81,8,yes,2005,46,2.2942643,256,12.76808,2010
1400000US06037103402,6037103402,2022,330,170,51.52,150,20,no,3768,236,6.2632694,685,18.179405,3829
1400000US06037104103,6037104103,2022,554,487,87.910004,418,69,no,4127,194,4.7007513,873,21.153379,4281
1400000US06037104105,6037104105,2022,792,689,86.989998,620,69,no,6193,1405,22.686905,2775,44.808655,6195
1400000US06037104108,6037104108,2022,1007,958,95.129997,925,33,no,4962,705,14.207981,1950,39.298672,4962
1400000US06037104124,6037104124,2022,1118,997,89.18,863,134,no,3942,481,12.201928,1267,32.141045,4006
1400000US06037104204,6037104204,2022,356,348,97.75,341,7,no,3338,426,12.762133,1351,40.473339,3691
1400000US06037104310,6037104310,2022,2977,2899,97.379997,2557,342,no,4361,342,7.8422379,1261,28.915386,4392
1400000US06037104321,6037104321,2022,969,783,80.800003,739,44,no,2890,662,22.906574,1120,38.754326,2890
1400000US06037104401,6037104401,2022,537,509,94.790001,492,17,no,2977,694,23.312059,1425,47.866982,2977
1400000US06037104500,6037104500,2022,641,593,92.510002,554,39,no,3266,1061,32.486221,1725,52.816902,3301
1400000US06037104821,6037104821,2022,795,657,82.639999,579,78,no,3311,578,17.456963,1235,37.299908,3431
1400000US06037104822,6037104822,2022,904,836,92.480003,795,41,no,2461,633,25.721252,1356,55.099552,2461
1400000US06037106020,6037106020,2022,196,133,67.860001,127,6,no,4571,864,18.901772,1369,29.949682,4576
1400000US06037106112,6037106112,2022,525,453,86.290001,413,40,no,4993,730,14.620469,1107,22.17104,5125
1400000US06037106113,6037106113,2022,354,208,58.759998,187,21,no,3772,209,5.5408273,757,20.06893,3871
1400000US06037106114,6037106114,2022,371,308,83.019997,275,33,no,6800,1486,21.852942,3230,47.5,6800
1400000US06037106403,6037106403,2022,2085,1877,90.019997,1740,137,no,3657,278,7.6018596,1204,32.923161,3701
1400000US06037106405,6037106405,2022,2173,1925,88.589996,1800,125,no,4263,878,20.595825,1593,37.36805,4340
1400000US06037106510,6037106510,2022,83,83,100,83,0,yes,5463,844,15.449387,1464,26.798462,5717
1400000US06037106520,6037106520,2022,1564,1422,90.919998,1251,171,yes,5521,841,15.232748,1774,32.131859,5545
1400000US06037106603,6037106603,2022,388,182,46.91,134,48,no,3540,217,6.1299434,666,18.813559,3544
1400000US06037106604,6037106604,2022,316,291,92.089996,277,14,yes,4010,452,11.27182,968,24.13965,4010
1400000US06037106641,6037106641,2022,1329,732,55.080002,589,143,yes,2176,134,6.1580882,264,12.132353,2197
1400000US06037106642,6037106642,2022,407,125,30.709999,104,21,no,3413,275,8.0574274,435,12.745385,3442
1400000US06037106646,6037106646,2022,2654,1833,69.07,1497,336,no,2900,187,6.448276,560,19.310345,3011
1400000US06037106648,6037106648,2022,308,273,88.639999,256,17,no,4581,726,15.848068,1513,33.027721,4581
1400000US06037107020,6037107020,2022,545,501,91.93,478,23,no,4610,970,21.041214,1769,38.3731,4610
1400000US06037108104,6037108104,2022,593,123,20.74,106,17,yes,1738,32,1.8411968,130,7.4798617,1738
1400000US06037108202,6037108202,2022,1279,250,19.549999,224,26,yes,9246,300,3.2446463,854,9.2364264,9302
1400000US06037109200,6037109200,2022,250,178,71.199997,155,23,yes,3161,150,4.7453337,265,8.3834229,3161
1400000US06037109300,6037109300,2022,508,354,69.690002,293,61,no,2850,173,6.0701756,474,16.631578,2864
1400000US06037109500,6037109500,2022,1955,1816,92.889999,1712,104,no,3634,534,14.694551,1383,38.057236,3699
1400000US06037109601,6037109601,2022,571,356,62.349998,317,39,no,4831,254,5.2577105,972,20.120058,4831
1400000US06037109700,6037109700,2022,1043,685,65.68,554,131,no,4273,335,7.8399253,931,21.787971,4333
1400000US06037109800,6037109800,2022,720,426,59.169998,345,81,no,4569,440,9.6301165,690,15.101773,4584
1400000US06037111100,6037111100,2022,379,283,74.669998,240,43,no,3075,159,5.1707315,555,18.04878,3076
1400000US06037111202,6037111202,2022,362,220,60.77,209,11,no,5481,540,9.8522167,1227,22.386425,5670
1400000US06037111204,6037111204,2022,2617,1109,42.380001,916,193,no,5600,98,1.75,497,8.875,5600
1400000US06037111206,6037111206,2022,388,198,51.029999,160,38,no,4354,253,5.8107486,369,8.4749651,4363
1400000US06037111302,6037111302,2022,393,248,63.099998,227,21,no,4763,514,10.791518,1461,30.673944,4880
1400000US06037111303,6037111303,2022,1913,1269,66.339996,1072,197,no,4685,340,7.2572041,1576,33.639275,4712
1400000US06037111304,6037111304,2022,5591,2321,41.509998,1882,439,no,3106,959,30.875725,1404,45.202835,3106
1400000US06037111401,6037111401,2022,435,293,67.360001,253,40,no,2293,76,3.3144352,355,15.481901,2293
1400000US06037113101,6037113101,2022,470,263,55.959999,239,24,no,3524,364,10.329171,656,18.61521,3525
1400000US06037113212,6037113212,2022,376,198,52.66,179,19,no,2771,87,3.1396608,597,21.544569,2888
1400000US06037113232,6037113232,2022,290,249,85.860001,239,10,no,4470,377,8.4340048,680,15.212528,4596
1400000US06037113303,6037113303,2022,496,316,63.709999,281,35,no,3729,255,6.8382945,492,13.193886,3774
1400000US06037113322,6037113322,2022,410,96,23.41,85,11,no,4562,146,3.2003508,955,20.933802,4584
1400000US06037113323,6037113323,2022,1120,658,58.75,612,46,no,3619,311,8.5935345,724,20.005526,3619
1400000US06037113324,6037113324,2022,1675,1080,64.480003,955,125,no,2771,170,6.1349692,596,21.50848,2771
1400000US06037113423,6037113423,2022,101,80,79.209999,74,6,no,3077,503,16.347092,876,28.469288,3077
1400000US06037113428,6037113428,2022,652,608,93.25,585,23,no,4198,423,10.076227,695,16.555502,4222
